공통,,,,,,테란,,,,,,프로토스,,,,,,저그,,,,,,
1.20 (26.06.27)  /  1.20.1 (07.01)  /  1.20.2 (07.08)  /  1.20.3 (07.21),,,,,,,,,,,,,,,,,,,,,,,,
폭발형·진동형,,,,,,배럭,,,,,,질럿,,,,,,드론,,,,,,
 • 보호막 대상 피해 계수: 75% → 100% → 87.5%,,,1.20.1,,, • 비용: 150 → 125,,,,,, • 보호막/체력: 60/100 → 50/110,,,,,, • 공격 주기: 1.1 → 1.07,,,,,,
,,,,,, • 건설 시간: 50 → 48.2,,,,,, • 다리 강화 개발 시간: 71.4 → 64.3,,,,,,성큰 콜로니,,,,,,
,,,,,,팩토리,,,,,,드라군,,,,,, • 변이 시간: 14.3 → 17.9,,,,,,
,,,,,, • 비용: 150/100 → 125/75,,,,,, • 보호막/체력: 80/100 → 70/110,,,,,, • 공격 주기: 1.25 → 1.34,,,,,,
,,,,,, • 건설 시간: 39.3 → 41.1,,,,,,아칸,,,,,,저글링,,,,,,
,,,,,,머신 샵,,,,,, • 공격 주기: 0.98 → 0.85,,,,,, • 이동 속도: 4.33 → 4.38,,,,,,
,,,,,, • 비용: 50/25 → 50/50,,,,,,다크 템플러,,,,,,히드라리스크,,,,,,
,,,,,,스타포트,,,,,,• 소환 시간: 27.1 → 32.1 → 27.1,1.20.1,,,,, • 공격 주기: 0.69 → 0.73 → 0.72,,,1.20.1,,,
,,,,,, • 비용: 150/100 → 125/75,,,,,,다크 아콘,,,,,, • 근육 보강 진화 비용: 125/125 → 100/100,,,,,,
,,,,,,컨트롤 타워,,,,,, • 피드백 시전 사거리: 10 → 10.5,,,,,,럴커,,,,,,
,,,,,, • 비용: 50/25 → 50/50,,,,,, • 피드백 재사용 대기시간: 0.94 → 0,,,1.20.2,,, • 공격력: 24 → 25,,,,,,
,,,,,,엔지니어링 베이,,,,,, • 마인드 컨트롤 개발 비용: 150/150 → 100/100,,,,,,뮤탈리스크,,,,,,
,,,,,, • 건설 시간: 28.6 → 25,,,1.20.2,,, • 마인드 컨트롤 에너지 소모량: 150 → 125,,,,,, • 뭉치기 모드 토글 능력으로 변경,,,,,,
,,,,,,미사일 터렛,,,,,, • 마인드 컨트롤 시전 사거리: 10 → 9,,,1.20.1,,, • 이동 속도: 5.25 → 4.9,,,,,,
,,,,,,• 공격력,1.20.2,,,,,하이 템플러,,,,,,가디언,,,,,,
,,,,,,   ◦ 기본: 18.75 → 15,,,,,,,,,,,,,,,,,,
,,,,,,   ◦ 경장갑: 15.625 → 12.5,,,,,,,,,,,,,,,,,,
,,,,,,   ◦ 중장갑: 25 → 20,,,,,,,,,,,,,,,,,,
,,,,,,   ◦ 보호막: 21.875 → 17.5,,,,,,,,,,,,,,,,,,
,,,,,,마린,,,,,, • 할루시네이션 개발 필요,,,1.20.3,,, • 공격력: 20 → 25,,,,,,
,,,,,, • 생산 시간: 16.1 → 17.9,,,,,,• 소환 시간: 27.1 → 32.1,,,,,, • 공격 사거리: 11 → 10,,,,,,
,,,,,,,,,,,, • 할루시네이션 에너지 소모량: 75 → 50,,,1.20.3,,,,,,,,,
,,,,,,파이어뱃,,,,,,셔틀,,,,,,인페스티드 테란,,,,,,
,,,,,, • 생산 시간: 16.1 → 17.9,,,,,, • 비용: 200 → 175,,,,,, • 비용: 75/25 → 100/50,,,,,,
